old,new
심연,abyss
정령술,Spirit Arts
체술,Taijutsu (physical art)
가호,Blessing
반거인,Half Giant
화마,Fire Magic
영역화,Territorialization
권역,Territory
광폭화,Berserk
환영,Shadow
부식,Curse
사일동궁,SaIl-Dong Bow
프로토게노,protogene
시그니처,signature
파바밧,pababat
파밧,pabat
퍼버버벙,pobobobong
가가각,gagagag
크와앙,Kuaang
쐐애액,ssweeek
콰콰쾅,KwaKwaKwang
콰쾅,KwaKwang
콰콰콰,KwaKwaKwa
촤촤촤,chwachwachwa
치이잉,chiiing
콰아앙,kwaaang
콰앙,kwaang
크와앙,kuwaang
휘휘휘,hwihwihwi
브라흐마,Brahma
요정안,Fairy Eye
마족,Demon Clan
마왕독,Demon King Poison
마왕,Demon King
용인,Dragon Born
헤븐윙,Heaven Wing
아난타,Ananta
헤메라,Hemera
동생공,Little brother
세샤,Shesha
모옥,cottage
결계,barrier
혈국,Blood Country
연성진,YeonSeong array
봉인진,Sealing array
우드득,Ududuk
으드득,Eududuk
우득,Uduk
콰르릉,Kwarurung
쿠르르릉,Kurururung
쿠르릉,Kururung
콰르르,Kwaruru
우르르,Ururu
각룡,Horned Dragon
식탐황제,Gluttonous Emperor
마핵,Demonic core
마혈,Demon Blood
팟-,Pah-
씨익,ssiik
끼아악,Kiaak
키아아,Kiaa
화아아,Hwaaa
화아악,Hwaaak
좌아악,jwaaak
파지직,Pajijik
꾸우웅,kkuuung
까앙,kkaang
쿠웅,kuung
쿠우우,kuuu
쿠우웅,kuuung
우우웅,uuung
뇌기,lightning energy
뇌전,thunderbolt
정신체,spirit embodiment
마탑,magic tower
마도단,Demon Saber corps
철사자단,Iron Lion corps
스트레이,Stray
칠드런,Children
아가레스,Agares
새카만,jet-black
원륜,round wheel
광명,Light
신벌,Divine Punishment
아아악,aaah
마독,Demonic poison
살의,killing intent
칼바람,biting wind (kalbaram)
피피핑,pipiping
드미트리,Dimitri
발푸르기스,Walpurgis
그리고,그리고
스테이지,stage
쿠쿠쿠,kukuku
쿠쿠쿵,kukukung
콰드득,kwaduduk
콰득,kwaduk
촤악,chwaak
촤아악,chwaaak
촤르륵,chwaruruk
주르륵,chururuk
찰칵,chakag
츠츠츠,tsutsutsu
차차착,chachachak
채채챙,chechecheng
끼익,kkiik
끼이익,kkiiik
우우,huuu
히끅,hikkeuk
와장창,crash (wajangchang)
호문클루스,homunculus
메시지,message
켈라트,Kelat
천교,Chan Sect
나타태자,Prince Nezha
도철,docheol
요르문간드,Jormungand
니플헤임,Niflheim
말라흐,Malakh
아즈라엘,Azrael
헤임달,Heimdall
단탈리안,Dantalion
거라건타,goragonta
절교,Jie Sect
시바,Shiva
아그니,"Agni (Oh, my)"
걀라르호른,Gjallarhorn
아프리카,Africa
으흐흐흐,Uhuhuhu
으흐흐,Uhuhu
찌르르,jjiruru
아나스타샤,Anastasia
구미호,Nine-tailed fox
에메랄드,emerald
타블렛,tablets
아이스크림,ice cream
케이크,cake
아트란,Atlan
트리메기투스,Trismegistus
띠링,Ring!
가라비토,Garabito
비스마르크,Bismarck
하난,Hanan
리처드,Richard
독나비,Poisonous Butterfly
당희,DangHee
트로이,Troy
파우스트,Faust
메피스토펠레스,Mephistopheles
칼리번,Caliburn
튜토리얼,tutorial
무면목법서,Faceless Lawbook
흉신악살,Vicious God Evil Spirit
흉신,Vicious God
악살,Evil Spirit
권능,authority
영매,Psychic
핏빛현자,Blood red Sage
환인,Phantom
원념,deep-seated grudge
신격,divinity
신외지물,Worldly Possessions
비원,earnest wish
인피,bast
면구,facial mask
하늬바람,Westwind
이상한,strange
레어,lair
케테르,Keter
티페레트,Tiferet
호크마,Chokhmah
네차흐,Nechash
크로이,Croix
대행수,section chief
행수,chief
탁본,rubbing
신약,divine medicine
용생구자,Nine sons of the Dragon King
암군,Dark Group
백귀야행,Hyakki Yagyō
이매망량,Chimimōryō
귀곡성,(ghost wail)
아귀,hungry ghost
도올,Taowu
수하,subordinate
청람,Cheongram (clear view)
